,Names,RMS,KURT,SKW,STD,POW,POW_Max,FFT,Sources
141,probe7-2_p_0.0011 1 neur,11.452106462352733,-0.09577897022169513,-1.035768953966819,3.9166838407443767,3253.9423753868787,1554.2562250450258,100.39516005799857,1
142,probe7-2_p_0.0012 1 neur,11.381738967169385,-0.09399878906703796,-1.0385227364065903,3.891917898721733,3213.6762018380487,1534.5992846433167,99.98464563435206,1
143,probe7-2_p_0.0013 1 neur,11.451651791860318,-0.08842190275182871,-1.0425481604820146,3.911489965890815,3254.2624351258764,1555.5003614002826,100.29750957735769,1
144,probe7-2_p_0.0014 1 neur,11.295223035223353,-0.0955693535140294,-1.0357052948081304,3.8633154106157703,3165.3215338265836,1511.9425587156027,99.01195445440675,1
145,probe7-2_p_0.0015 1 neur,11.55069774303394,-0.09411286800007401,-1.0383398611477066,3.949909533615912,3309.9507180767123,1580.5878190177343,101.45564588918069,1
146,probe7-2_p_0.0016 1 neur,11.431295817513545,-0.09584121886993291,-1.0356589515044068,3.90981217865135,3241.9556602521334,1548.5455495087663,100.20655407178398,1
147,probe7-2_p_0.0017 1 neur,11.309261272533004,-0.0956040977839483,-1.0357292023167692,3.868052118970842,3173.1950489744922,1515.706784233778,99.1366497731419,1
148,probe7-2_p_0.0018 1 neur,11.315872347943003,-0.09554264091613263,-1.0357209951264508,3.8702747366248067,3176.9555325699544,1517.4978472102246,99.19393971933418,1
149,probe7-2_p_0.0019 1 neur,11.344855106278114,-0.09409077134365429,-1.0383214239960814,3.879565222450834,3193.0129373507,1524.7564655307908,99.64500517127067,1
150,probe7-2_p_0.002 1 neur,11.223078148463546,-0.0955958781636439,-1.0357903959704513,3.8383745359024966,3124.963408466565,1492.6501497309669,98.38495303358705,1
151,probe1_p_0.001 1 neur,59.82346324689865,-0.09407192032071832,-1.038422381045781,20.45864542332894,2433.8907073125397,1163.1569210673008,86.903223567098,1
152,probe1_p_0.0011 1 neur,60.48599086336813,-0.09579163793638612,-1.0357683034236218,20.686579763674576,2488.009223320976,1188.4063666186123,87.78750661505353,1
153,probe1_p_0.0012 1 neur,60.11366033708285,-0.09397215123176261,-1.0385520230626772,20.555375493931123,2457.198957737318,1173.3650467323318,87.42846847454507,1
154,probe1_p_0.0013 1 neur,60.483496400571,-0.08841142183773609,-1.0425579447898292,20.659099474957376,2488.2455723346256,1189.3528840938081,87.70219357255553,1
155,probe1_p_0.0014 1 neur,59.657342445139584,-0.09559198422526549,-1.0356800239452841,20.40470252383114,2420.2399862136435,1156.0474913556054,86.57815665071669,1
156,probe1_p_0.0015 1 neur,61.00669441065333,-0.09408912476006792,-1.0383489847099945,20.862042402053483,2530.826814171024,1208.5354624924548,88.71495356383154,1
157,probe1_p_0.0016 1 neur,60.375957510102054,-0.095845598970282,-1.0356579987524024,20.65021827682066,2478.824251108281,1184.0301812994546,87.62245548149895,1
158,probe1_p_0.0017 1 neur,59.73144518878166,-0.09555267094557962,-1.035755928896569,20.429608309818708,2426.2598227786916,1158.9265702444297,86.6870359121953,1
159,probe1_p_0.0018 1 neur,59.76659912245776,-0.09553385145353,-1.0357193187439502,20.441271416585245,2429.141416081685,1160.2982104615385,86.73731093409435,1
160,probe1_p_0.0019 1 neur,59.91943065549931,-0.09411122614014733,-1.0383127721559344,20.490296006298653,2441.4120316480294,1165.844896983987,87.13162017283837,1
161,probe1_p_0.002 1 neur,59.27599341801557,-0.09565810329243929,-1.0357516711786798,20.27308876346441,2389.374933049959,1141.2937758492362,86.02977258773953,1
162,probe1.1_p_0.001 1 neur,59.011120422874775,-0.09407255073580956,-1.038422055185558,20.18083605540929,2342.1199794464055,1119.299807400476,85.2490498165361,1
163,probe1.1_p_0.0011 1 neur,59.66455784483693,-0.09578267169335675,-1.0357687526204962,20.405619612041413,2394.1958382315725,1143.5962319874238,86.11647753281598,1
164,probe1.1_p_0.0012 1 neur,59.29763276111756,-0.09398463307811866,-1.0385384315227173,20.276401997717755,2364.5439355550616,1129.1202821783563,85.76427840729228,1
165,probe1.1_p_0.0013 1 neur,59.6622403446332,-0.08839755527946647,-1.0425708942272354,20.378611969627016,2394.4204785991524,1144.5056045365452,86.03279923127572,1
166,probe1.1_p_0.0014 1 neur,58.84724158931069,-0.09558258649163909,-1.0356906477162757,20.127602437295113,2328.9797558695263,1112.4562381914247,84.93017462817473,1
